iter	Passed	Remaining
134	1995	12788
135	2010	12773
136	2028	12777
137	2039	12738
138	2053	12718
139	2065	12688
140	2076	12648
141	2088	12617
142	2101	12596
143	2113	12566
144	2124	12526
145	2135	12492
146	2145	12448
147	2156	12412
148	2168	12384
149	2179	12351
150	2191	12320
151	2202	12286
152	2214	12261
153	2227	12234
154	2239	12209
155	2250	12177
156	2262	12148
157	2274	12123
158	2287	12099
159	2298	12068
160	2309	12036
161	2323	12018
162	2341	12022
163	2352	11989
164	2365	11968
165	2378	11947
166	2390	11921
167	2401	11890
168	2412	11864
169	2425	11839
170	2437	11814
171	2448	11786
172	2460	11763
173	2472	11736
174	2481	11699
175	2493	11673
176	2507	11661
177	2518	11629
178	2529	11600
179	2540	11573
180	2552	11548
181	2563	11520
182	2575	11498
183	2587	11473
184	2599	11449
185	2609	11421
186	2622	11400
187	2634	11379
188	2646	11354
189	2657	11330
190	2669	11307
191	2681	11285
192	2693	11262
193	2705	11240
194	2715	11210
195	2728	11191
196	2740	11169
197	2750	11142
198	2763	11122
199	2774	11098
200	2787	11079
201	2799	11059
202	2810	11035
203	2823	11017
204	2838	11006
205	2852	10993
206	2864	10972
207	2876	10953
208	2889	10935
209	2901	10914
210	2913	10896
211	2926	10876
212	2936	10851
213	2948	10828
214	2962	10815
215	2975	10798
216	2988	10782
217	2999	10758
218	3011	10741
219	3025	10725
220	3037	10705
221	3049	10686
222	3061	10667
223	3074	10652
224	3087	10634
225	3100	10618
226	3118	10620
227	3131	10604
228	3145	10590
229	3157	10571
230	3172	10560
231	3186	10548
232	3199	10533
233	3212	10516
234	3225	10501
235	3238	10484
236	3251	10468
237	3265	10454
238	3280	10446
239	3295	10435
240	3308	10420
241	3321	10404
242	3335	10390
243	3347	10371
244	3360	10355
245	3373	10338
246	3384	10318
247	3397	10302
248	3410	10286
249	3423	10271
250	3436	10254
251	3450	10240
252	3463	10225
253	3476	10211
254	3489	10195
255	3501	10176
256	3515	10162
257	3527	10145
258	3539	10127
259	3551	10108
260	3563	10088
261	3574	10069
262	3586	10051
263	3599	10033
264	3610	10015
265	3622	9997
266	3634	9977
267	3646	9959
268	3657	9938
269	3669	9920
270	3680	9900
271	3693	9884
272	3704	9866
273	3716	9848
274	3728	9830
275	3741	9813
276	3752	9795
277	3765	9780
278	3779	9766
279	3790	9747
280	3803	9732
281	3814	9712
282	3827	9697
283	3839	9680
284	3852	9663
285	3865	9649
286	3877	9633
287	3889	9614
288	3900	9596
289	3913	9581
290	3925	9564
291	3936	9545
292	3950	9532
293	3962	9516
294	3975	9500
295	3986	9481
296	4003	9476
297	4021	9473
298	4038	9468
299	4057	9467
300	4074	9463
301	4090	9454
302	4102	9437
303	4115	9422
304	4127	9406
305	4141	9393
306	4154	9377
307	4167	9364
308	4178	9345
309	4190	9326
310	4203	9313
311	4217	9300
312	4229	9283
313	4241	9267
314	4254	9251
315	4266	9235
316	4278	9217
317	4290	9201
318	4303	9186
319	4316	9172
320	4327	9154
321	4338	9135
322	4351	9120
323	4362	9102
324	4374	9084
325	4385	9067
326	4397	9050
327	4410	9035
328	4421	9018
329	4432	8999
330	4444	8983
331	4458	8970
332	4469	8952
333	4480	8935
334	4492	8918
335	4505	8903
336	4517	8887
337	4531	8875
338	4542	8857
339	4554	8841
340	4565	8823
341	4578	8808
342	4590	8791
343	4600	8773
344	4613	8758
345	4625	8742
346	4636	8725
347	4647	8707
348	4660	8693
349	4672	8677
350	4683	8659
351	4696	8645
352	4707	8628
353	4719	8612
354	4730	8595
355	4742	8578
356	4754	8563
357	4767	8549
358	4779	8533
359	4791	8518
360	4803	8503
361	4816	8488
362	4827	8471
363	4839	8455
364	4851	8439
365	4863	8423
366	4880	8417
367	4892	8401
368	4904	8386
369	4916	8370
370	4928	8356
371	4942	8343
372	4953	8327
373	4965	8311
374	4976	8294
375	4988	8278
376	5000	8263
377	5010	8245
378	5022	8230
379	5034	8214
380	5045	8197
381	5057	8181
382	5068	8165
383	5081	8150
384	5092	8134
385	5104	8120
386	5116	8104
387	5129	8090
388	5140	8074
389	5152	8058
390	5164	8044
391	5177	8029
392	5188	8014
393	5200	7998
394	5211	7982
395	5223	7967
396	5234	7950
397	5246	7935
398	5260	7923
399	5272	7908
400	5284	7893
401	5296	7878
402	5315	7874
403	5327	7859
404	5338	7843
405	5350	7828
406	5362	7813
407	5374	7797
408	5385	7782
409	5397	7767
410	5410	7753
411	5420	7736
412	5432	7721
413	5445	7707
414	5457	7693
415	5469	7678
416	5486	7669
417	5497	7654
418	5510	7640
419	5521	7625
420	5533	7610
421	5545	7595
422	5557	7581
423	5569	7566
424	5581	7551
425	5594	7538
426	5606	7522
427	5617	7507
428	5628	7491
429	5641	7478
430	5652	7462
431	5664	7447
432	5676	7432
433	5687	7417
434	5698	7401
435	5710	7387
436	5722	7372
437	5733	7357
438	5746	7343
439	5757	7328
440	5770	7314
441	5781	7299
442	5792	7283
443	5804	7268
444	5816	7254
445	5828	7239
446	5839	7224
447	5851	7210
448	5863	7195
449	5876	7182
450	5888	7167
451	5899	7152
452	5912	7138
453	5925	7126
454	5937	7111
455	5948	7096
456	5960	7082
457	5973	7068
458	5985	7054
459	5996	7039
460	6007	7023
461	6019	7009
462	6030	6994
463	6042	6979
464	6053	6965
465	6066	6951
466	6077	6935
467	6089	6921
468	6101	6907
469	6114	6895
470	6126	6880
471	6137	6865
472	6149	6851
473	6161	6836
474	6173	6822
475	6184	6808
476	6195	6793
477	6208	6779
478	6220	6765
479	6231	6750
480	6242	6735
481	6254	6722
482	6266	6707
483	6278	6693
484	6290	6679
485	6302	6665
486	6313	6650
487	6324	6635
488	6336	6621
489	6347	6606
490	6359	6592
491	6371	6579
492	6384	6565
493	6402	6557
494	6414	6544
495	6426	6529
496	6438	6516
497	6450	6502
498	6462	6488
499	6473	6473
500	6485	6459
501	6496	6444
502	6508	6430
503	6522	6418
504	6537	6407
505	6548	6393
506	6559	6378
507	6570	6363
508	6583	6350
509	6594	6335
510	6605	6320
511	6617	6306
512	6628	6292
513	6639	6277
514	6651	6263
515	6662	6249
516	6679	6239
517	6690	6225
518	6701	6211
519	6713	6197
520	6726	6184
521	6738	6170
522	6749	6155
523	6763	6144
524	6777	6132
525	6792	6120
526	6805	6108
527	6819	6096
528	6833	6084
529	6846	6071
530	6857	6057
531	6870	6043
532	6881	6029
533	6894	6016
534	6906	6002
535	6918	5989
536	6931	5975
537	6943	5962
538	6956	5949
539	6967	5934
540	6979	5921
541	6991	5907
542	7001	5892
543	7013	5878
544	7025	5865
545	7037	5851
546	7049	5837
547	7060	5823
548	7071	5809
549	7084	5796
550	7096	5782
551	7108	5768
552	7120	5755
553	7131	5741
554	7142	5727
555	7155	5713
556	7166	5699
557	7177	5685
558	7189	5671
559	7200	5657
560	7212	5643
561	7225	5631
562	7236	5617
563	7248	5603
564	7260	5590
565	7273	5576
566	7284	5562
567	7296	5549
568	7309	5536
569	7321	5523
570	7333	5509
571	7344	5495
572	7355	5481
573	7368	5468
574	7380	5455
575	7392	5441
576	7405	5428
577	7418	5416
578	7430	5402
579	7442	5389
580	7455	5376
581	7472	5366
582	7484	5353
583	7495	5339
584	7509	5326
585	7520	5312
586	7531	5298
587	7543	5285
588	7556	5273
589	7568	5259
590	7579	5245
591	7592	5232
592	7604	5218
593	7615	5205
594	7627	5192
595	7639	5178
596	7651	5165
597	7663	5151
598	7674	5137
599	7687	5124
600	7700	5112
601	7713	5099
602	7723	5084
603	7736	5072
604	7749	5059
605	7760	5045
606	7773	5032
607	7785	5019
608	7796	5005
609	7809	4992
610	7821	4979
611	7832	4965
612	7844	4952
613	7856	4938
614	7867	4925
615	7878	4911
616	7891	4898
617	7903	4885
618	7916	4872
619	7927	4859
620	7939	4845
621	7952	4832
622	7965	4820
623	7978	4807
624	7989	4793
625	8002	4781
626	8015	4768
627	8027	4755
628	8039	4741
629	8051	4728
630	8063	4715
631	8076	4703
632	8089	4690
633	8101	4676
634	8116	4665
635	8130	4653
636	8143	4640
637	8155	4627
638	8170	4615
639	8182	4602
640	8195	4589
641	8206	4576
642	8219	4563
643	8231	4550
644	8242	4536
645	8254	4523
646	8265	4509
647	8278	4496
648	8289	4483
649	8301	4469
650	8312	4456
651	8324	4443
652	8336	4429
653	8347	4416
654	8358	4402
655	8370	4389
656	8385	4377
657	8398	4365
658	8412	4353
659	8426	4340
660	8438	4327
661	8450	4314
662	8464	4302
663	8476	4289
664	8489	4276
665	8502	4263
666	8516	4251
667	8529	4239
668	8542	4226
669	8555	4214
670	8570	4202
671	8583	4189
672	8595	4176
673	8610	4164
674	8623	4152
675	8637	4139
676	8650	4127
677	8666	4115
678	8677	4102
679	8692	4090
680	8705	4077
681	8718	4065
682	8731	4052
683	8743	4039
684	8756	4026
685	8767	4013
686	8779	4000
687	8792	3987
688	8804	3974
689	8816	3961
690	8828	3947
691	8839	3934
692	8852	3921
693	8865	3909
694	8878	3896
695	8890	3883
696	8901	3869
697	8914	3857
698	8927	3844
699	8939	3831
700	8952	3818
701	8965	3805
702	8977	3792
703	8991	3780
704	9004	3767
705	9017	3755
706	9030	3742
707	9044	3730
708	9056	3717
709	9070	3704
710	9081	3691
711	9095	3679
712	9107	3666
713	9121	3653
714	9134	3640
715	9147	3628
716	9160	3615
717	9171	3602
718	9183	3589
719	9194	3575
720	9207	3563
721	9219	3549
722	9231	3536
723	9242	3523
724	9255	3510
725	9267	3497
726	9278	3484
727	9291	3471
728	9303	3458
729	9314	3445
730	9326	3432
731	9338	3419
732	9350	3405
733	9361	3392
734	9375	3380
735	9386	3366
736	9398	3353
737	9410	3340
738	9421	3327
739	9433	3314
740	9444	3301
741	9457	3288
742	9468	3274
743	9479	3261
744	9491	3248
745	9503	3235
746	9515	3222
747	9527	3209
748	9539	3196
749	9551	3183
750	9562	3170
751	9574	3157
752	9586	3144
753	9598	3131
754	9609	3118
755	9621	3105
756	9635	3092
757	9646	3079
758	9658	3066
759	9669	3053
760	9683	3041
761	9694	3028
762	9706	3014
763	9718	3001
764	9729	2988
765	9743	2976
766	9755	2963
767	9766	2950
768	9779	2937
769	9791	2924
770	9803	2911
771	9813	2898
772	9826	2885
773	9838	2872
774	9850	2859
775	9861	2846
776	9873	2833
777	9885	2820
778	9898	2808
779	9909	2795
780	9921	2782
781	9933	2769
782	9944	2755
783	9955	2742
784	9966	2729
785	9979	2716
786	9991	2704
787	10002	2691
788	10014	2678
789	10025	2665
790	10038	2652
791	10050	2639
792	10062	2626
793	10073	2613
794	10084	2600
795	10096	2587
796	10109	2574
797	10121	2561
798	10133	2549
799	10144	2536
800	10156	2523
801	10167	2510
802	10179	2497
803	10190	2484
804	10203	2471
805	10217	2459
806	10231	2446
807	10242	2433
808	10255	2421
809	10267	2408
810	10278	2395
811	10291	2382
812	10303	2370
813	10315	2357
814	10327	2344
815	10339	2331
816	10351	2318
817	10363	2305
818	10376	2293
819	10387	2280
820	10399	2267
821	10411	2254
822	10421	2241
823	10434	2228
824	10447	2216
825	10459	2203
826	10470	2190
827	10482	2177
828	10494	2164
829	10505	2151
830	10516	2138
831	10528	2126
832	10540	2113
833	10552	2100
834	10563	2087
835	10576	2074
836	10588	2062
837	10600	2049
838	10612	2036
839	10623	2023
840	10635	2010
841	10648	1998
842	10659	1985
843	10672	1972
844	10685	1960
845	10697	1947
846	10709	1934
847	10721	1921
848	10732	1908
849	10745	1896
850	10756	1883
851	10768	1870
852	10783	1858
853	10794	1845
854	10805	1832
855	10816	1819
856	10828	1806
857	10840	1794
858	10853	1781
859	10865	1768
860	10876	1755
861	10888	1743
862	10899	1730
863	10911	1717
864	10923	1704
865	10933	1691
866	10945	1679
867	10957	1666
868	10969	1653
869	10982	1641
870	10995	1628
871	11007	1615
872	11018	1602
873	11029	1590
874	11041	1577
875	11052	1564
876	11064	1551
877	11077	1539
878	11088	1526
879	11101	1513
880	11112	1500
881	11123	1488
882	11136	1475
883	11147	1462
884	11158	1449
885	11170	1437
886	11181	1424
887	11193	1411
888	11204	1399
889	11218	1386
890	11229	1373
891	11241	1361
892	11252	1348
893	11265	1335
894	11277	1323
895	11289	1310
896	11299	1297
897	11311	1284
898	11323	1272
899	11336	1259
900	11348	1246
901	11359	1234
902	11371	1221
903	11385	1209
904	11398	1196
905	11409	1183
906	11422	1171
907	11433	1158
908	11446	1145
909	11456	1133
910	11468	1120
911	11480	1107
912	11492	1095
913	11503	1082
914	11515	1069
915	11527	1057
916	11539	1044
917	11550	1031
918	11562	1019
919	11575	1006
920	11586	993
921	11598	981
922	11611	968
923	11623	956
924	11635	943
925	11647	930
926	11658	918
927	11670	905
928	11682	892
929	11693	880
930	11705	867
931	11718	855
932	11730	842
933	11741	829
934	11753	817
935	11764	804
936	11776	791
937	11787	779
938	11799	766
939	11811	753
940	11824	741
941	11835	728
942	11847	716
943	11859	703
944	11877	691
945	11887	678
946	11899	665
947	11911	653
948	11923	640
949	11933	628
950	11945	615
951	11956	602
952	11967	590
953	11979	577
954	11992	565
955	12002	552
956	12013	539
957	12025	527
958	12036	514
959	12047	501
960	12059	489
961	12070	476
962	12082	464
963	12093	451
964	12106	439
965	12117	426
966	12129	413
967	12142	401
968	12155	388
969	12166	376
970	12178	363
971	12191	351
972	12203	338
973	12215	326
974	12227	313
975	12238	300
976	12250	288
977	12263	275
978	12275	263
979	12286	250
980	12298	238
981	12310	225
982	12323	213
983	12335	200
984	12346	188
985	12358	175
986	12370	162
987	12382	150
988	12393	137
989	12405	125
990	12417	112
991	12429	100
992	12440	87
993	12453	75
994	12463	62
995	12475	50
996	12487	37
997	12498	25
998	12510	12
999	12522	0
