iter	Logloss
0	0.6847676516
1	0.6720642924
2	0.6660776099
3	0.6587650379
4	0.6483641187
5	0.6407437046
6	0.6339263876
7	0.6228417397
8	0.6162143707
9	0.6065825582
10	0.6008190791
11	0.5916087031
12	0.5856116692
13	0.5735594153
14	0.5639235775
15	0.5579226216
16	0.5531984727
17	0.5459950765
18	0.5392389158
19	0.5336707373
20	0.5231142998
21	0.514820385
22	0.5071290274
23	0.5000890235
24	0.4993414422
25	0.4950639029
26	0.4884939651
27	0.4826905469
28	0.4767290791
29	0.4697373708
30	0.4654837728
31	0.459842062
32	0.4582711498
33	0.4523419221
34	0.4443241497
35	0.4391224881
36	0.4346862833
37	0.4304021915
38	0.4250990987
39	0.420013082
40	0.4155063848
41	0.4122116705
42	0.4077562273
43	0.4032786727
44	0.4014066796
45	0.3967559298
46	0.3921659211
47	0.3849930545
48	0.3808033029
49	0.3763777852
50	0.3712007145
51	0.3666911463
52	0.3631005069
53	0.3595860581
54	0.3565389375
55	0.3541875998
56	0.3509456555
57	0.3487537821
58	0.3458129108
59	0.3417648017
60	0.3363769531
61	0.3331437667
62	0.3281670292
63	0.3237398555
64	0.3201731443
65	0.3176548024
66	0.3134706209
67	0.3110037178
68	0.3067910065
69	0.3046640108
70	0.3005646328
71	0.2967384597
72	0.2919899434
73	0.2885452569
74	0.2853718797
75	0.2824887723
76	0.2801089833
77	0.2781588842
78	0.2761759539
79	0.273358349
80	0.2695729305
81	0.2660807759
82	0.263961186
83	0.2603650312
84	0.257166782
85	0.2541506737
86	0.2514958908
87	0.2495447735
88	0.2482962132
89	0.245230635
90	0.2424172372
91	0.2396836261
92	0.2377314488
93	0.2345287353
94	0.2310639282
95	0.2287662874
96	0.2265912076
97	0.2241315107
98	0.2226846516
99	0.2205333014
100	0.2177041968
101	0.2152654171
102	0.2133684834
103	0.2118416021
104	0.2103047301
105	0.208236138
106	0.2053665916
107	0.2035215815
108	0.2014149179
109	0.1998152008
110	0.1986676683
111	0.1960166862
112	0.1941139509
113	0.1921029935
114	0.1902400712
115	0.1882777025
116	0.1860953828
117	0.1845917076
118	0.1829878787
119	0.1809265842
120	0.179021282
121	0.1769953499
122	0.1750347078
123	0.1730998168
124	0.1716531773
125	0.1700582653
126	0.1681067531
127	0.1661281973
128	0.1643776779
129	0.1626153335
130	0.1612486119
131	0.1597668096
132	0.1583867982
133	0.1566682408
134	0.1553882028
135	0.1540711815
136	0.1526654974
137	0.1516207213
138	0.1506278306
139	0.1493113274
140	0.1480247577
141	0.1470143562
142	0.1458700468
143	0.1449824875
144	0.1437182883
145	0.1426699256
146	0.1414951911
147	0.1404030204
148	0.1389015272
149	0.1377894948
150	0.1366318708
151	0.135526449
152	0.1344373276
153	0.1335669671
154	0.1325057919
155	0.1315126985
156	0.1303620502
157	0.129355368
158	0.1283850392
159	0.1271337519
160	0.1261680081
161	0.1252554024
162	0.1243250405
163	0.1231632794
164	0.1222762143
165	0.121339568
166	0.1204014917
167	0.1194804539
168	0.1185309773
169	0.1175754587
170	0.1167913159
171	0.1158667689
172	0.1151208778
173	0.1143094455
174	0.1135144522
175	0.1127247756
176	0.1120086854
177	0.1112428457
178	0.1105438069
179	0.1097923085
180	0.1090559115
181	0.1083261246
182	0.1076056371
183	0.1070518484
184	0.1063471024
185	0.1058023786
186	0.1050742139
187	0.1043913742
188	0.1038664694
189	0.1032000179
190	0.1026794588
191	0.1020662834
192	0.1015561268
193	0.1009590949
194	0.1004940902
195	0.09990435143
196	0.09930281689
197	0.09882280628
198	0.09821459005
199	0.09757987857
200	0.09707717051
201	0.09648631165
202	0.09596822808
203	0.09543348799
204	0.09490023504
205	0.09445950538
206	0.09389855961
207	0.09334617654
208	0.09279840887
209	0.09229318649
210	0.09175967276
211	0.09134564996
212	0.0908244436
213	0.09038445751
214	0.0899815234
215	0.08947042723
216	0.08900372759
217	0.0885010389
218	0.08811490039
219	0.08772833049
220	0.08734447037
221	0.08693333889
222	0.08648678785
223	0.0860085994
224	0.08563960468
225	0.08524431164
226	0.08477924764
227	0.08431846847
228	0.08390049984
229	0.08354605064
230	0.08316789741
231	0.08276162023
232	0.08241725539
233	0.08201517711
234	0.08165105432
235	0.08125855401
236	0.08092568492
237	0.08050605406
238	0.08012025009
239	0.07977300957
240	0.07945189575
241	0.07913384587
242	0.0787287429
243	0.07841555948
244	0.07801947022
245	0.07765640045
246	0.07732993911
247	0.07694317351
248	0.07664632623
249	0.07634847015
250	0.07603217463
251	0.0756557323
252	0.07536548252
253	0.07505685563
254	0.07475034048
255	0.07440834343
256	0.0740477778
257	0.07375029524
258	0.07347489446
259	0.07320221886
260	0.0728515096
261	0.07252613356
262	0.07225857849
263	0.07199401781
264	0.07171052073
265	0.07142936637
266	0.07115028103
267	0.07081596752
268	0.0705421413
269	0.07021533002
270	0.06994604046
271	0.06967838754
272	0.06943108812
273	0.0691667743
274	0.06885214299
275	0.06859243587
276	0.06835096156
277	0.06811101461
278	0.06785716812
279	0.0676048105
280	0.06735437761
281	0.06705382615
282	0.06680772627
283	0.0665094542
284	0.06626808792
285	0.06602739543
286	0.06580242912
287	0.06556568096
288	0.06534384141
289	0.06510890201
290	0.06487722298
291	0.06464723671
292	0.06441806058
293	0.06413980226
294	0.06391442617
295	0.06369058788
296	0.06342067743
297	0.06319945802
298	0.06293149566
299	0.06271405891
300	0.06249872272
301	0.06223602494
302	0.06203456322
303	0.06183521152
304	0.06162610526
305	0.06141770755
306	0.06116282915
307	0.06095734388
308	0.06075393607
309	0.06055209016
310	0.06035133451
311	0.06010984952
312	0.05991229117
313	0.0596684821
314	0.05947344278
315	0.05927999367
316	0.05908685476
317	0.05889607718
318	0.05870583728
319	0.05851712947
320	0.05832968528
321	0.05810345809
322	0.05791811943
323	0.05769450516
324	0.05751261289
325	0.05728751421
326	0.05710739642
327	0.05692825889
328	0.0567498525
329	0.05653305948
330	0.0563135537
331	0.05613932063
332	0.05596556639
333	0.05579376146
334	0.05558525945
335	0.05541504398
336	0.05524679398
337	0.05507793402
338	0.05491144359
339	0.0547082593
340	0.0545429036
341	0.05438043475
342	0.05421780522
343	0.054016155
344	0.05381472558
345	0.05365568846
346	0.05349699681
347	0.0533407785
348	0.0531851319
349	0.05299492528
350	0.05284102708
351	0.05268852413
352	0.05253645281
353	0.05235096887
354	0.05220055009
